source,allsides_rate,community_rate,community_total,community_agree,community_disagree,community_agree_prop
Vote Smart ,Center,somewhat disagree,467,229,238,0.49036402569593146
Vox ,Left,agree,40387,25912,14475,0.6415925916755392
VT Digger ,Lean Left,somewhat disagree,428,203,225,0.4742990654205608
Wake Up to Politics ,Center,somewhat agree,157,84,73,0.535031847133758
Wall Street Journal (News) ,Center,somewhat disagree,43022,19807,23215,0.4603923573985403
Wall Street Journal (Opinion) ,Lean Right,somewhat agree,16281,9721,6560,0.5970763466617529
Walt Handelsman (cartoonist) ,Left,somewhat disagree,203,97,106,0.47783251231527096
WANDTV ,Center,somewhat disagree,130,62,68,0.47692307692307695
Washington Examiner ,Lean Right,strongly agree,15416,10571,4845,0.6857161390762844
Washington Free Beacon ,Right,somewhat agree,1240,673,567,0.542741935483871
Washington Monthly ,Lean Left,somewhat agree,549,295,254,0.5373406193078324
Washington Post ,Lean Left,agree,55615,33490,22125,0.6021756720309269
Washington Times ,Lean Right,strongly agree,39377,26637,12740,0.6764608781776164
Watchdog.org ,Lean Right,somewhat disagree,1194,577,617,0.483249581239531
WFAE ,Center,somewhat disagree,397,192,205,0.4836272040302267
WGBH ,Center,somewhat agree,744,394,350,0.5295698924731183
WGN ,Center,somewhat disagree,272,130,142,0.47794117647058826
Whatfinger News ,Right,somewhat agree,356,204,152,0.5730337078651685
Whitehouse.gov ,Lean Right,somewhat disagree,1156,517,639,0.4472318339100346
Whittier Daily News ,Center,somewhat disagree,21,10,11,0.47619047619047616
Wikipedia ,Center,somewhat disagree,2409,1174,1235,0.48733914487339147
Willam A. Galston ,Lean Left,somewhat agree,245,128,117,0.5224489795918368
William Bennett ,Right,somewhat disagree,361,157,204,0.43490304709141275
William McGurn ,Right,agree,167,108,59,0.6467065868263473
Wired ,Center,somewhat disagree,633,255,378,0.4028436018957346
Wisconsin Gazette ,Lean Left,somewhat agree,459,244,215,0.5315904139433552
WND.com ,Right,strongly agree,1080,773,307,0.7157407407407408
World Wildlife ,Center,somewhat agree,24,13,11,0.5416666666666666
Yahoo! News ,Lean Left,agree,5815,3565,2250,0.6130696474634566
Yahoo! The 360 ,Mixed,disagree,388,150,238,0.3865979381443299
Yes! Magazine ,Left,agree,675,446,229,0.6607407407407407
ZeroHedge ,Lean Right,somewhat agree,183,109,74,0.5956284153005464
