source,source_type,allsides_rate,community_rate,community_total,community_agree,community_disagree,community_agree_prop
Time Magazine,news,lean left,somewhat agree,15153,8247,6906,0.5442486636309641
Townhall,news,right,somewhat disagree,23463,9514,13949,0.405489494097089
Truth or Fiction,news,center,somewhat agree,592,318,274,0.5371621621621622
Truthdig,news,left,strongly agree,134,90,44,0.6716417910447762
TruthOut,news,lean left,somewhat disagree,823,407,416,0.4945321992709599
U.S. News & World Report,news,lean left,somewhat disagree,3603,1734,1869,0.48126561199000834
Univision,news,lean left,somewhat disagree,1043,517,526,0.4956855225311601
Upworthy,news,left,somewhat agree,836,498,338,0.5956937799043063
USA TODAY,news,center,somewhat disagree,35138,17018,18120,0.4843189709146793
Vanity Fair,news,lean left,agree,6009,3636,2373,0.6050923614578133
Variety,news,center,strongly disagree,33,11,22,0.3333333333333333
Vice,news,left,absolutely agree,3178,2507,671,0.7888609188168659
Virginia Mercury,news,center,somewhat disagree,76,37,39,0.4868421052631579
Voice of America,news,center,somewhat agree,249,125,124,0.5020080321285141
Volante,news,center,somewhat disagree,344,166,178,0.48255813953488375
Vox,news,left,agree,40430,25948,14482,0.6418006430868167
VT Digger,news,lean left,somewhat disagree,428,203,225,0.4742990654205608
Wake Up to Politics,news,center,somewhat agree,157,84,73,0.535031847133758
Wall Street Journal (News),news,center,somewhat disagree,43058,19825,23233,0.4604254726183288
Wall Street Journal (Opinion),news,lean right,somewhat agree,16306,9734,6572,0.596958174904943
WANDTV,news,center,somewhat disagree,130,62,68,0.47692307692307695
Washington Examiner,news,lean right,strongly agree,15438,10583,4855,0.6855162585827179
Washington Free Beacon,news,right,somewhat agree,1240,673,567,0.542741935483871
Washington Monthly,news,lean left,somewhat agree,549,295,254,0.5373406193078324
Washington Post,news,lean left,agree,55675,33524,22151,0.6021374045801526
Washington Times,news,lean right,strongly agree,39402,26658,12744,0.676564641388762
Watchdog.org,news,lean right,somewhat disagree,1194,577,617,0.483249581239531
WFAE,news,center,somewhat disagree,397,192,205,0.4836272040302267
WGBH,news,center,somewhat agree,744,394,350,0.5295698924731183
WGN,news,center,somewhat disagree,273,131,142,0.47985347985347987
Whatfinger News,news,right,somewhat agree,356,204,152,0.5730337078651685
Whittier Daily News,news,center,somewhat disagree,21,10,11,0.47619047619047616
Wired,news,center,somewhat disagree,635,256,379,0.4031496062992126
Wisconsin Gazette,news,lean left,somewhat agree,459,244,215,0.5315904139433552
WND.com,news,right,strongly agree,1080,773,307,0.7157407407407408
Yahoo! News,news,lean left,agree,5819,3567,2252,0.6129919230108266
Yahoo! The 360,news,mixed,disagree,389,151,238,0.38817480719794345
Yes! Magazine,news,left,agree,675,446,229,0.6607407407407407
ZeroHedge,news,lean right,somewhat agree,184,109,75,0.592391304347826
